مزرعه,مساحت (ha),PN1,PE1,PN2,PE2,PN3,PE3,PN4,PE4,PN9,PE9,PN10,PE10,PN11,PE11
09-14,24.08,3493018.42,287477.75,3493049.78,287231.22,3492088.73,287108.96,3492057.37,287355.48,,,,,,
09-16,23.81,3492986.14,287731.44,3493017.15,287487.66,3492056.10,287365.40,3492025.09,287609.18,,,,,,
09-18,23.28,3492953.93,287984.64,3492984.25,287746.31,3492023.20,287624.06,3491992.88,287862.38,,,,,,
09-20,24.07,3492921.30,288241.08,3492952.66,287994.57,3491991.61,287872.31,3491960.25,288118.82,,,,,,
09-22,24.07,3492889.44,288491.55,3492920.80,288245.05,3491959.75,288122.79,3491928.39,288369.29,,,,,,
09-24,24.07,3492856.81,288748.00,3492888.17,288501.49,3491927.12,288379.23,3491895.76,288625.74,,,,,,
09-26,24.07,3492824.95,288998.47,3492856.31,288751.97,3491895.26,288629.70,3491863.89,288876.21,,,,,,
09-28,24.07,3492792.32,289254.91,3492823.68,289008.40,3491862.63,288886.14,3491831.27,289132.65,,,,,,
09-30,22.90,3492502.08,289478.56,3492542.50,289453.62,3492624.32,289438.47,3492735.76,289422.50,3491798.65,289389.08,,,,
09-32,22.10,3492726.74,289770.51,3492759.19,289515.30,3492723.01,289510.70,3492594.88,289636.37,3491798.14,289393.05,3491781.64,289522.76,3491765.20,289651.98
10-01,24.51,3493256.56,285605.39,3493288.49,285354.41,3492327.47,285232.15,3492295.54,285483.13,,,,,,
10-03,24.07,3493289.75,285344.49,3493321.11,285097.98,3492360.10,284975.72,3492328.74,285222.23,,,,,,
10-05,24.07,3493321.62,285094.00,3493352.98,284847.48,3492391.96,284725.22,3492360.60,284971.74,,,,,,
10-07,24.07,3493354.24,284837.56,3493385.60,284591.05,3492424.59,284468.79,3492393.23,284715.30,,,,,,
10-09,24.07,3493386.11,284587.08,3493417.47,284340.57,3492456.45,284218.31,3492425.09,284464.81,,,,,,
10-11,24.07,3493418.73,284330.64,3493450.10,284084.13,3492489.08,283961.87,3492457.72,284208.38,,,,,,
10-13,24.07,3493450.60,284080.16,3493481.96,283833.65,3492520.94,283711.39,3492489.58,283957.90,,,,,,
10-15,23.27,3493483.22,283823.73,3493513.54,283585.40,3492552.52,283463.14,3492522.20,283701.47,,,,,,
10-17,23.27,3493516.13,283565.07,3493546.45,283326.74,3492585.43,283204.48,3492555.11,283442.81,,,,,,
10-19,24.07,3493547.71,283316.82,3493579.07,283070.31,3492618.05,282948.05,3492586.69,283194.56,,,,,,
10-21,24.07,3493579.58,283066.34,3493610.94,282819.83,3492649.92,282697.57,3492618.56,282944.08,,,,,,
10-23,24.07,3493612.20,282809.90,3493643.56,282563.39,3492682.54,282441.13,3492651.18,282687.64,,,,,,
10-25,24.07,3493644.07,282559.42,3493675.43,282312.91,3492714.41,282190.65,3492683.05,282437.16,,,,,,
10-27,24.07,3493676.69,282302.99,3493708.05,282056.48,3492747.03,281934.22,3492715.67,282180.73,,,,,,
10-29,24.05,3493708.56,282052.51,3493739.92,281806.00,3492828.29,281690.02,3492777.64,281693.56,,,,,,
10-31,7.73,3493741.18,281796.08,3493763.48,281620.82,3492873.30,281685.67,---,---,,,,,,
11-02,24.14,3492187.38,285826.65,3492219.85,285571.43,3491288.59,285453.22,3491256.15,285708.18,,,,,,
11-04,23.33,3492154.76,286083.09,3492186.12,285836.58,3491254.88,285718.11,3491223.52,285964.62,,,,,,
11-06,23.33,3492122.89,286333.58,3492154.25,286087.05,3491223.02,285968.58,3491191.65,286215.11,,,,,,
11-08,23.33,3492090.27,286590.00,3492121.63,286343.49,3491190.39,286225.02,3491159.03,286471.53,,,,,,
11-10,23.33,3492058.40,286840.48,3492089.76,286593.97,3491158.53,286475.50,3491127.17,286722.01,,,,,,
11-12,23.33,3492025.78,287096.91,3492057.14,286850.40,3491125.90,286731.93,3491094.54,286978.44,,,,,,
11-14,23.33,3491993.91,287347.39,3492025.27,287100.88,3491094.04,286982.41,3491062.68,287228.92,,,,,,
11-16,23.07,3491961.63,287601.10,3491992.65,287357.32,3491061.41,287238.85,3491030.40,287482.63,,,,,,
11-18,22.55,3491929.42,287854.31,3491959.74,287615.98,3491028.51,287497.51,3490998.19,287735.84,,,,,,
11-20,23.33,3491896.80,288110.74,3491928.16,287864.23,3490996.92,287745.76,3490965.56,287992.27,,,,,,
11-22,23.33,3491864.93,288361.22,3491896.29,288114.71,3490965.06,287996.24,3490933.70,288242.75,,,,,,
11-24,23.33,3491832.31,288617.66,3491863.67,288371.15,3490932.43,288252.68,3490901.07,288499.19,,,,,,
11-26,23.33,3491800.44,288868.14,3491831.80,288621.63,3490900.57,288503.16,3490869.21,288749.67,,,,,,
11-28,21.01,3491799.20,288878.07,3490867.94,288759.60,3490847.49,288920.09,3491069.71,288948.41,,,,,,
11-30,12.42,3491735.95,289375.05,3491767.32,289128.54,3491148.27,289049.78,3491363.65,289327.70,,,,,,
11-32,6.22,3491701.72,289644.15,3491734.69,289384.97,3491372.32,289338.88,3491480.97,289479.08,,,,,,
12-01,16.08,3491144.00,285337.00,3491150.00,285277.00,3491208.00,285090.00,3490553.00,285010.00,,,,,,
12-02,24.33,3492254.87,285477.98,3492286.80,285227.01,3491332.75,285105.63,3491300.82,285356.60,,,,,,
12-03,4.39,3490567.23,285002.04,3490606.24,284737.46,3490522.50,284729.50,3490411.14,284807.28,,,,,,
12-04,23.90,3492288.07,285217.08,3492319.43,284970.57,3491365.38,284849.19,3491334.01,285095.70,,,,,,
12-06,23.90,3492319.93,284966.59,3492351.30,284720.07,3491397.25,284598.69,3491365.88,284845.21,,,,,,
12-08,23.90,3492352.56,284710.15,3492383.92,284463.64,3491429.87,284342.26,3491398.51,284588.77,,,,,,
12-10,23.90,3492384.43,284459.67,3492415.79,284213.16,3491461.74,284091.78,3491430.38,284338.29,,,,,,
12-12,24.62,3491410.10,283832.18,3491442.91,283574.26,3490503.74,283454.77,3490470.93,283712.70,,,,,,
12-13,23.31,3490484.00,283713.00,3490517.00,283457.00,3491405.00,283570.00,3491369.00,283831.00,,,,,,
12-14,23.90,3492448.92,283952.75,3492480.29,283706.24,3491526.23,283584.86,3491494.87,283831.37,,,,,,
12-15,22.75,3491444.17,283564.34,3491474.49,283326.01,3490535.32,283206.52,3490505.00,283444.85,,,,,,
12-16,23.11,3492481.55,283696.32,3492511.87,283457.99,3491557.82,283336.61,3491527.50,283574.94,,,,,,
12-17,23.11,3491491.96,283307.58,3491522.28,283069.25,3490568.23,282947.87,3490537.91,283186.20,,,,,,
12-18,23.11,3492514.46,283437.67,3492544.78,283199.34,3491590.73,283077.96,3491560.40,283316.29,,,,,,
12-19,23.90,3491523.54,283059.33,3491554.90,282812.82,3490600.85,282691.44,3490569.49,282937.95,,,,,,
12-20,23.90,3492546.04,283189.42,3492577.40,282942.91,3491623.35,282821.53,3491591.99,283068.04,,,,,,
12-21,23.90,3491555.41,282808.85,3491586.77,282562.34,3490632.72,282440.96,3490601.36,282687.47,,,,,,
12-22,23.90,3492546.04,283189.42,3492577.40,282942.91,3491623.35,282821.53,3491591.99,283068.04,,,,,,
12-23,23.90,3491588.03,282552.41,3491619.40,282305.90,3490665.35,282184.52,3490633.98,282431.03,,,,,,
12-24,23.90,3492610.53,282682.50,3492641.90,282435.99,3491687.84,282314.61,3491656.48,282561.12,,,,,,
12-25,23.90,3491619.90,282301.93,3491651.26,282055.42,3490697.21,281934.04,3490665.85,282180.55,,,,,,
12-26,23.90,3492642.40,282432.02,3492673.76,282185.51,3491719.71,282064.13,3491688.35,282310.64,,,,,,
12-27,25.18,3491652.53,282045.50,3491699.76,281674.24,3491565.84,281673.12,3491263.39,281749.05,,,,,,
12-28,23.61,3492675.03,282175.59,3492706.01,281932.06,3491751.96,281810.68,3491720.97,282054.21,,,,,,
12-30,14.94,3492707.27,281922.13,3492736.09,281695.66,3492696.75,281698.53,3492446.23,281704.88,,,,,,
13-02,24.00,3491177.77,285698.21,3491210.20,285443.27,3490285.68,285325.93,3490248.49,285579.98,,,,,,
13-04,23.28,3491145.15,285954.65,3491176.51,285708.13,3490247.23,285589.91,3490215.87,285836.43,,,,,,
13-06,23.28,3491113.28,286205.14,3491144.64,285958.61,3490215.36,285840.39,3490184.00,286086.91,,,,,,
13-08,23.28,3491080.66,286461.56,3491112.02,286215.05,3490182.74,286096.82,3490151.38,286343.34,,,,,,
13-10,23.28,3491048.79,286712.03,3491080.15,286465.53,3490150.87,286347.30,3490119.51,286593.81,,,,,,
13-12,23.28,3491016.17,286968.47,3491047.53,286721.96,3490118.25,286603.73,3490086.89,286850.25,,,,,,
13-14,23.28,3490984.30,287218.94,3491015.66,286972.44,3490086.38,286854.22,3490055.02,287100.72,,,,,,
13-16,23.02,3490952.03,287472.66,3490983.04,287228.88,3490053.76,287110.65,3490022.75,287354.43,,,,,,
13-18,22.51,3490919.81,287725.87,3490950.13,287487.54,3490020.85,287369.31,3489990.53,287607.64,,,,,,
13-20,23.28,3490887.19,287982.30,3490918.55,287735.79,3489989.27,287617.56,3489957.91,287864.08,,,,,,
13-22,23.28,3490855.32,288232.78,3490886.69,287986.27,3489957.40,287868.05,3489926.04,288114.55,,,,,,
13-24,23.28,3490822.70,288489.22,3490854.06,288242.71,3489924.78,288124.48,3489893.42,288371.00,,,,,,
13-26,23.28,3490790.83,288739.70,3490822.20,288493.19,3489892.91,288374.97,3489861.55,288621.47,,,,,,
13-28,15.59,3490768.70,288914.99,3490789.57,288749.62,3489860.29,288631.39,3489841.93,288797.01,,,,,,
14-01,24.33,3489215.15,285091.25,3489247.08,284840.27,3488293.03,284718.89,3488261.10,284969.87,,,,,,
14-02,24.33,3490237.65,285221.34,3490269.58,284970.36,3489315.53,284848.98,3489283.60,285099.96,,,,,,
14-03,23.90,3489248.35,284830.35,3489279.71,284583.84,3488325.66,284462.46,3488294.30,284708.96,,,,,,
14-04,23.90,3490270.85,284960.44,3490302.21,284713.93,3489348.16,284592.55,3489316.80,284839.05,,,,,,
14-05,23.90,3489280.21,284579.86,3489311.58,284333.34,3488357.53,284211.96,3488326.16,284458.48,,,,,,
14-06,23.90,3490302.71,284709.95,3490334.08,284463.43,3489380.03,284342.05,3489348.66,284588.57,,,,,,
14-07,23.90,3489312.84,284323.42,3489344.20,284076.91,3488390.15,283955.53,3488358.79,284202.04,,,,,,
